SMILES,Conditions,Name,NCT_Number,Phases,Status,Gender,Age,Funded Bys,Study Designs,Locations,Patent_id,CPC,Gender_code_0,Gender_code_1,Gender_code_2,Gender_code_3,Age_code_0,Age_code_1,Age_code_2,Age_code_3,Age_code_4,Age_code_5,Allocation_Type_0,Allocation_Type_1,Allocation_Type_2,Allocation_Type_3,Intervention_Model_0,Intervention_Model_1,Intervention_Model_2,Intervention_Model_3,Intervention_Model_4,Intervention_Model_5,Country_0,Country_1,Country_2,Country_3,Country_4,Country_5,Funder_Type_0,Funder_Type_1,Funder_Type_2,Funder_Type_3,Funder_Type_4,Funder_Type_5,claims_#,Duration,Patent_#,PCT_code_0,PCT_code_1,CPC_code_0,CPC_code_2,CPC_code_3,CPC_code_4,CPC_code_5,PCT_code_2,CPC_code_1,logP,MW,PSA,HBA,HBD,Rings,Polarizability,Refractivity,Bond_#,Bioavailability_0,Bioavailability_1,Bioavailability_2,ECFP4.1,ECFP4.2,ECFP4.3,ECFP4.4,ECFP4.5,ECFP4.6,ECFP4.7,ECFP4.8,ECFP4.9,ECFP4.10,ECFP4.11,ECFP4.12,ECFP4.13,ECFP4.14,ECFP4.15,ECFP4.16,ECFP4.17,ECFP4.18,ECFP4.19,ECFP4.20,ECFP4.21,ECFP4.22,ECFP4.23,ECFP4.24,ECFP4.25,ECFP4.26,ECFP4.27,ECFP4.28,ECFP4.29,ECFP4.30,ECFP4.31,ECFP4.32,ECFP4.33,ECFP4.34,ECFP4.35,ECFP4.36,ECFP4.37,ECFP4.38,ECFP4.39,ECFP4.40,ECFP4.41,ECFP4.42,ECFP4.43,ECFP4.44,ECFP4.45,ECFP4.46,ECFP4.47,ECFP4.48,ECFP4.49,ECFP4.50,ECFP4.51,ECFP4.52,ECFP4.53,ECFP4.54,ECFP4.55,ECFP4.56,ECFP4.57,ECFP4.58,ECFP4.59,ECFP4.60,ECFP4.61,ECFP4.62,ECFP4.63,ECFP4.64,ECFP4.65,ECFP4.66,ECFP4.67,ECFP4.68,ECFP4.69,ECFP4.70,ECFP4.71,ECFP4.72,ECFP4.73,ECFP4.74,ECFP4.75,ECFP4.76,ECFP4.77,ECFP4.78,ECFP4.79,ECFP4.80,ECFP4.81,ECFP4.82,ECFP4.83,ECFP4.84,ECFP4.85,ECFP4.86,ECFP4.87,ECFP4.88,ECFP4.89,ECFP4.90,ECFP4.91,ECFP4.92,ECFP4.93,ECFP4.94,ECFP4.95,ECFP4.96,ECFP4.97,ECFP4.98,ECFP4.99,ECFP4.100,ECFP4.101,ECFP4.102,ECFP4.103,ECFP4.104,ECFP4.105,ECFP4.106,ECFP4.107,ECFP4.108,ECFP4.109,ECFP4.110,ECFP4.111,ECFP4.112,ECFP4.113,ECFP4.114,ECFP4.115,ECFP4.116,ECFP4.117,ECFP4.118,ECFP4.119,ECFP4.120,ECFP4.121,ECFP4.122,ECFP4.123,ECFP4.124,ECFP4.125,ECFP4.126,ECFP4.127,ECFP4.128
CC(=O)[O-],BURN,_ACETATE,NCT01413620,Phase 1,Recruiting,All,"6 Months to 85 Years   (Child, Adult, Older Adult)",Other,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment,"Shriners Hospitals for Children, Galveston, Texas, United States",,,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,15.0,32.7488,128.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-0.29,59.044,40.13,2.0,0.0,0.0,4.96,23.48,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
C=C1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12,OVARIAN CANCER,_EXEMESTANE,NCT04460807,Phase 3,Recruiting,Female,"18 Years and older   (Adult, Older Adult)",Other,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","AO SS Antonio e Biagio e Cesare Arrigo, Alessandria, AL, Italy|Ospedale Oncologico IRCCS Bari, Bari, BA, Italy|Ospedale degli Infermi, Biella, BI, Italy|AULSS 1 Dolomiti - Ospedale ""Santa Maria del Prato"", Feltre, BL, Italy|Azienda Ospedaliero Universitaria Policlinico S.Orsola-Malpighi, Bologna, BO, Italy|ASST degli Spedali Civili di Brescia, Brescia, BS, Italy|Fondazione Poliambulanza, Brescia, BS, Italy|Ospedale di Manerbio, Manerbio, BS, Italy|AOU Cagliari, Policlinico Universitario, Cagliari, CA, Italy|Ospedale Policlinico ""SS. Annunziata"", Chieti, CH, Italy|Azienda Sanitaria Locale CN2, Alba, CN, Italy|Azienda Ospedaliera S.Croce e Carle, Cuneo, CN, Italy|Ospedale di Mondovì CN1, Mondovì, CN, Italy|Ospedale Sant Anna di Como, Como, CO, Italy|ARNAS Garibaldi, Catania, CT, Italy|Azienda Ospedaliera per l'emergenza Cannizzaro, Catania, CT, Italy|Istituto Scientifico Romagnolo per lo Studio e la Cura dei Tumori (IRST) IRCCS, Meldola, FC, Italy|Ospedale Casa Sollievo della Sofferenza, San Giovanni Rotondo, FG, Italy|ASL 3 Ospedale Villa Scassi, Genova, GE, Italy|IRCCS AOU San Martino - IST, Genova, GE, Italy|ASST Lecco - Ospedale ""A. Manzoni"", Lecco, LC, Italy|Ospedale ""Vito Fazzi"", Lecce, LE, Italy|UOS Oncologia Ginecologica, Ospedale S. Gerardo, Monza, MB, Italy|Presidio Ospedaliero Unico Av3, Macerata, MC, Italy|Istituto Europeo di Oncologia (IEO), Milano, MI, Italy|AOU Policlinico di Modena, Modena, MO, Italy|A.R.N.A.S. Ospedali Civico Di Cristina Benfratelli, Palermo, PA, Italy|Ospedale ""Guglielmo da Saliceto"", Piacenza, PC, Italy|Azienda Ospedaliero-Universitaria Pisana, Pisa, PI, Italy|CRO Centro di Riferimento Oncologico, Aviano, PN, Italy|Fondazione IRCCS Policlinico San Matteo, Pavia, PV, Italy|Azienda Ospedaliera Regionale San Carlo, Potenza, PZ, Italy|Ospedale ""degli Infermi"", Faenza, RA, Italy|Ospedale ""Umberto I"", Lugo, RA, Italy|Ospedale Santa Maria delle Croci, Ravenna, RA, Italy|Azienda Ospedaliera Arcispedale Santa Maria Nuova, Reggio Emilia, RE, Italy|Policlinico Umberto I, Università di Roma ""La Sapienza"", Roma, RM, Italy|Policlinico Universitario Fondazione Agostino Gemelli, Roma, RM, Italy|ASST Valtellina e Alto Lario, Sondrio, SO, Italy|Azienda Ospedaliero Universitaria di Sassari, Sassari, SS, Italy|Fondazione del Piemonte per l'Oncologia - IRCCS, Candiolo, TO, Italy|AO Ordine Mauriziano, Torino, TO, Italy|Azienda Ospedaliero-Universitaria Città della Salute e della Scienza - Ospedale Ostetrico Ginecologico Sant'Anna, Torino, TO, Italy|Presidio Ospedaliero S. Andrea, Vercelli, VC, Italy|Medical Oncology Division, Ente Ospedaliero Ospedali Galliera, Genova, Italy|Istituto Nazionale Tumori - IRCCS ""Fondazione G.Pascale"", Napoli, Italy|Azienda Ospedaliero-Universitaria Maggiore della Carità, Novara, Italy",4808616,C07J1/0011,0.0,1.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,7.0,31.7706729090946,512.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.67,296.4034,34.14,2.0,0.0,4.0,33.71,89.03,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,OVARIAN CANCER,_LETROZOLE,NCT03378297,Early Phase 1,Recruiting,Female,"18 Years and older   (Adult, Older Adult)",Other,Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science,"Helse Bergen HF, Haukeland University Hospital, Bergen, Norway|Helse Stavanger HF, Stavanger University Hospital, Stavanger, Norway",4978672,C07D213/57,0.0,1.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,18.0,27.3681184418571,752.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.86,285.3027,78.29,4.0,0.0,3.0,29.59,94.47,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CN(C)C(=N)NC(=N)N,OVARIAN CANCER,_METFORMIN,NCT03378297,Early Phase 1,Recruiting,Female,"18 Years and older   (Adult, Older Adult)",Other,Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science,"Helse Bergen HF, Haukeland University Hospital, Bergen, Norway|Helse Stavanger HF, Stavanger University Hospital, Stavanger, Norway",6288095.0,4,0.0,1.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,10.0,80.757305078133,88.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.8,129.1636,88.99,5.0,4.0,0.0,13.43,56.64,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)Oc1ccccc1C(=O)O,OVARIAN CANCER,_ASPIRIN,NCT03378297,Early Phase 1,Recruiting,Female,"18 Years and older   (Adult, Older Adult)",Other,Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science,"Helse Bergen HF, Haukeland University Hospital, Bergen, Norway|Helse Stavanger HF, Stavanger University Hospital, Stavanger, Norway",6015577,6,0.0,1.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,20.0,57.233208074087706,7103.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,180.1574,63.6,3.0,1.0,1.0,17.1,44.45,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,OVARIAN CANCER,_OLAPARIB,NCT03378297,Early Phase 1,Recruiting,Female,"18 Years and older   (Adult, Older Adult)",Other,Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science,"Helse Bergen HF, Haukeland University Hospital, Bergen, Norway|Helse Stavanger HF, Stavanger University Hospital, Stavanger, Norway",7151102,5,0.0,1.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,8.0,61.63576254132521,26.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.72,434.4628,82.08,4.0,1.0,5.0,43.81,117.53,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,FRONTOTEMPORAL DEMENTIA,_PREDNISONE,NCT04408625,Phase 1|Phase 2,Recruiting,All,"30 Years to 80 Years   (Adult, Older Adult)",Industry,Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,"UCSF Memory and Aging Center, 350 Parnassus Ave, Suite 706, San Francisco, California, United States|Mayo Clinic, 4500 San Pablo Road,, Jacksonville, Florida, United States|Bioclinica Orlando, 100 West Gore Street, Suite 202, Orlando, Florida, United States|University of Pennsylvania, The Penn FTD Center, 3 West Gates, Philadelphia, Pennsylvania, United States",6488960,5,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,8.0,14.6532783014024,1832.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.07,358.4281,91.67,5.0,2.0,4.0,38.17,97.57,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]2(C)C=CC(=O)C=C12,FRONTOTEMPORAL DEMENTIA,_METHYLPREDNISOLONE,NCT04408625,Phase 1|Phase 2,Recruiting,All,"30 Years to 80 Years   (Adult, Older Adult)",Industry,Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,"UCSF Memory and Aging Center, 350 Parnassus Ave, Suite 706, San Francisco, California, United States|Mayo Clinic, 4500 San Pablo Road,, Jacksonville, Florida, United States|Bioclinica Orlando, 100 West Gore Street, Suite 202, Orlando, Florida, United States|University of Pennsylvania, The Penn FTD Center, 3 West Gates, Philadelphia, Pennsylvania, United States",3962414,A61F9/0017,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,9.0,19.450091377646306,446.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.06,374.4706,94.83,5.0,3.0,4.0,40.77,103.04,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,FRONTOTEMPORAL DEMENTIA,_SIROLIMUS,NCT04408625,Phase 1|Phase 2,Recruiting,All,"30 Years to 80 Years   (Adult, Older Adult)",Industry,Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,"UCSF Memory and Aging Center, 350 Parnassus Ave, Suite 706, San Francisco, California, United States|Mayo Clinic, 4500 San Pablo Road,, Jacksonville, Florida, United States|Bioclinica Orlando, 100 West Gore Street, Suite 202, Orlando, Florida, United States|University of Pennsylvania, The Penn FTD Center, 3 West Gates, Philadelphia, Pennsylvania, United States",5212155,4,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,10.0,21.5856588430973,1254.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.85,914.187,195.43,12.0,3.0,4.0,101.74,250.66,6.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@@H]12)C3(C)C,NEOPLASMS,_DOCETAXEL,NCT03693612,Phase 2,Recruiting,All,"18 Years and older   (Adult, Older Adult)",Industry,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,"GSK Investigational Site, Boston, Massachusetts, United States|GSK Investigational Site, New York, New York, United States|GSK Investigational Site, New York, New York, United States|GSK Investigational Site, Pittsburgh, Pennsylvania, United States|GSK Investigational Site, San Antonio, Texas, United States|GSK Investigational Site, Melbourne, Victoria, Australia|GSK Investigational Site, Ottawa, Ontario, Canada|GSK Investigational Site, Toronto, Ontario, Canada",4814470,C07D305/14,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,0.0,0.0,0.0,6.0,20.238608595659002,3874.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.59,807.8792,224.45,10.0,5.0,6.0,82.15,203.9,13.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
