Features,importance
Patent_#,0.059489925759002825
Duration,0.032571679632833986
Funder_Type_1,0.03211856845280317
claims_#,0.027863438727363864
logP,0.027764861938390128
Country_1,0.026005005089263112
MW,0.025231740553465564
PSA,0.025153080935840445
Refractivity,0.023791554759613476
Polarizability,0.02295313828787479
Allocation_Type_3,0.020681695862029868
Bond_#,0.016827976301132672
Intervention_Model_3,0.014672514799953122
Funder_Type_2,0.014292272228821432
HBA,0.012545091753461066
Country_0,0.01246426696551043
Rings,0.011176794300490227
Intervention_Model_5,0.011075140477922312
HBD,0.010951550005143086
Allocation_Type_1,0.007877880351834492
PCT_code_1,0.007359141768747554
Country_2,0.007210022101436648
ECFP4.77,0.007002501437729872
Allocation_Type_0,0.006917562436541955
PCT_code_2,0.006858647757147332
Intervention_Model_0,0.00649435804580018
ECFP4.91,0.00547256292670285
ECFP4.65,0.005433878247407894
ECFP4.1,0.005364790079215887
ECFP4.76,0.005180649519725222
ECFP4.9,0.004998118316185657
Funder_Type_3,0.0049199294996170725
ECFP4.80,0.004875647366212431
ECFP4.103,0.00484673278190623
Funder_Type_4,0.004780101444716168
ECFP4.45,0.004770683385921512
ECFP4.48,0.004746749073900008
CPC_code_5,0.004720417256475801
ECFP4.64,0.004632846120019822
ECFP4.72,0.004629702125501703
ECFP4.73,0.004605649008890799
ECFP4.46,0.004570193689949935
ECFP4.74,0.004545981818916596
ECFP4.18,0.004545058583609752
ECFP4.2,0.004529261963804848
ECFP4.69,0.004520058447750496
ECFP4.20,0.004502454406737872
ECFP4.87,0.004466157648772828
ECFP4.114,0.004425655848710387
ECFP4.17,0.00436139638761486
ECFP4.106,0.004355603250818894
ECFP4.75,0.004336049433402939
ECFP4.60,0.00430662811123759
ECFP4.126,0.004221618454303447
ECFP4.50,0.00421416413336563
ECFP4.3,0.004207038334395821
ECFP4.14,0.004156829949225033
ECFP4.124,0.004156081381909929
ECFP4.128,0.004145080745753682
ECFP4.13,0.0041144443876871065
ECFP4.83,0.0040448086114164
ECFP4.58,0.003999883856973423
ECFP4.66,0.003993071353186436
ECFP4.90,0.00398613390413956
ECFP4.59,0.003980893671167883
ECFP4.33,0.0039716139014801715
ECFP4.108,0.003969730916162973
ECFP4.6,0.003969299027717463
ECFP4.86,0.003962584904263531
ECFP4.111,0.003906899984263186
ECFP4.36,0.0038976214560223583
ECFP4.23,0.003895649984107814
ECFP4.28,0.003875788312881859
ECFP4.99,0.0038728215520106514
ECFP4.79,0.0038660985219384214
ECFP4.117,0.0038407478232444408
ECFP4.123,0.0038049760657509466
ECFP4.34,0.003781126646592326
ECFP4.95,0.003779991548440585
ECFP4.4,0.003778154875655592
ECFP4.120,0.0037730985714866825
ECFP4.54,0.003769617287550701
ECFP4.55,0.003754012366649232
ECFP4.61,0.00374056588737536
ECFP4.16,0.0037399930012055466
ECFP4.96,0.0037265725968052173
ECFP4.89,0.0037207480724641456
ECFP4.97,0.00367559424006694
ECFP4.5,0.0036708062712025097
ECFP4.62,0.0036601641700172226
ECFP4.115,0.0036560908191112292
ECFP4.109,0.0036195839141712964
ECFP4.31,0.0036192436414955015
ECFP4.37,0.0035838774076819542
ECFP4.27,0.0035696198891997316
ECFP4.56,0.0035690520253728614
ECFP4.122,0.0035514816574198005
ECFP4.85,0.003512382963393796
Bioavailability_1,0.0034397304387620052
ECFP4.53,0.003435045791231179
ECFP4.112,0.0034332838538600097
ECFP4.11,0.003422426217639427
ECFP4.35,0.003411968465666096
ECFP4.8,0.0034071430755095128
ECFP4.39,0.003395394878260258
ECFP4.100,0.0033863646731436877
ECFP4.78,0.003372474628311928
ECFP4.44,0.003304994128861857
ECFP4.107,0.003289163653923096
Age_code_1,0.0032797548861663705
ECFP4.68,0.0032764977819828085
Gender_code_0,0.0032613508618042895
ECFP4.19,0.0032500591557742594
ECFP4.38,0.003241670322344507
ECFP4.104,0.003223878800914031
ECFP4.70,0.0032115492462207844
ECFP4.51,0.0032047825949801222
PCT_code_0,0.0032030082333062765
ECFP4.67,0.003202934961987794
ECFP4.102,0.003172688602399603
Bioavailability_2,0.0031514860952054774
ECFP4.81,0.00314006489272619
ECFP4.110,0.003138879067374952
ECFP4.47,0.0030757512995711177
Country_3,0.0030734265809667116
ECFP4.119,0.003066396011402563
ECFP4.32,0.003059991998062545
ECFP4.29,0.0030502203869934475
ECFP4.82,0.003040744713673095
Age_code_5,0.003019848141988082
ECFP4.118,0.003018761463964126
ECFP4.125,0.0029962812585696916
ECFP4.113,0.002988475981751216
ECFP4.71,0.0029631834402581055
ECFP4.49,0.002953574327245083
ECFP4.88,0.0029505638336049305
ECFP4.30,0.002938423234181713
ECFP4.63,0.0029352437467743252
ECFP4.127,0.0029136418007074923
ECFP4.15,0.002902409416672418
ECFP4.12,0.002850329828585348
ECFP4.52,0.0028149221030363096
ECFP4.84,0.002811890624742243
ECFP4.40,0.0027889564521814013
ECFP4.42,0.002779239144294863
ECFP4.116,0.0027750245121318036
ECFP4.43,0.00269504126909858
Gender_code_3,0.0026839312771311506
ECFP4.7,0.002669076591778694
ECFP4.10,0.0026657261207265522
ECFP4.105,0.002639851405711563
ECFP4.121,0.0026353522549692355
CPC_code_0,0.0025906572846985327
ECFP4.25,0.002546281212676277
ECFP4.41,0.0025280951588424094
ECFP4.24,0.002519388458950605
ECFP4.93,0.0024832430469318902
ECFP4.21,0.002477443294412024
ECFP4.98,0.002442035819954617
ECFP4.22,0.0024047674177791463
ECFP4.92,0.0023922983989254614
ECFP4.94,0.002254174538749937
Funder_Type_0,0.0022435129611504904
ECFP4.26,0.002201267466706644
ECFP4.101,0.0021929804238206944
Allocation_Type_2,0.0021395466095295913
ECFP4.57,0.0021191922196028075
Bioavailability_0,0.002052522330520142
Intervention_Model_1,0.001990962687598229
Country_4,0.0017951813629537602
CPC_code_3,0.0016538471556943402
Funder_Type_5,0.0016339304792804517
Intervention_Model_2,0.0016155695086254186
CPC_code_4,0.0016091068477541255
CPC_code_2,0.0015782604510228948
Age_code_0,0.0014549746549927772
Gender_code_1,0.0011543203293886512
Age_code_3,0.0009235541680055325
Age_code_4,0.0008012411843909477
CPC_code_1,0.000661401774212509
Age_code_2,0.0005287699091814276
Gender_code_2,0.0004227390058978012
Country_5,0.0004069720339516837
