Features,importance
Patent_#,0.056929004433284885
Funder_Type_1,0.03554166467541868
Duration,0.0352602746574413
Refractivity,0.02708471130973929
PSA,0.025745864006454646
MW,0.02536795793197092
logP,0.025131176027084996
Polarizability,0.024234357640827885
claims_#,0.02408699017031092
Allocation_Type_3,0.023640399912467015
Bond_#,0.01570341139961328
HBA,0.013703289139772434
Intervention_Model_3,0.01319679001569928
Rings,0.012386673344847193
HBD,0.011144432074783103
Country_1,0.011089882258305896
PCT_code_1,0.009253015212493622
Intervention_Model_5,0.009171880907944817
Funder_Type_2,0.008321665075131556
ECFP4.91,0.00812785777805155
PCT_code_2,0.008033180972262324
ECFP4.123,0.007110994694135504
ECFP4.1,0.006783703206823498
ECFP4.51,0.0063951692212483365
Gender_code_0,0.006168462624824465
Country_0,0.006019898251636978
ECFP4.9,0.0060081778479664566
ECFP4.108,0.005719356188406742
ECFP4.69,0.005638331199708865
CPC_code_5,0.005569871949171723
ECFP4.60,0.0055092468321278395
Age_code_1,0.005417222010342533
ECFP4.48,0.00541072904125381
ECFP4.106,0.005399903623581858
ECFP4.45,0.005138550392031324
ECFP4.114,0.005099591057401725
ECFP4.74,0.005006529164171365
ECFP4.2,0.004982646271207296
ECFP4.103,0.004965554336816118
ECFP4.36,0.004849506462984347
ECFP4.18,0.004826636216172456
ECFP4.3,0.004791797953995613
ECFP4.78,0.004768004615457866
ECFP4.39,0.004726194987444987
ECFP4.99,0.004724015920654874
ECFP4.37,0.004693788989598102
ECFP4.64,0.0046583236665608445
ECFP4.126,0.004651238224410248
ECFP4.97,0.004635616633257737
ECFP4.55,0.004633761056474672
ECFP4.76,0.004625253105321226
ECFP4.20,0.004597147987198915
ECFP4.72,0.004576369777581854
ECFP4.6,0.004535659564139972
Intervention_Model_0,0.004530895321817675
ECFP4.124,0.00449248711159188
ECFP4.122,0.0044744230015066324
ECFP4.59,0.00439655170040255
ECFP4.115,0.004346122897793747
ECFP4.73,0.004340106772958724
ECFP4.117,0.004323829791796758
ECFP4.79,0.004306142706332615
ECFP4.109,0.004274269788863719
Gender_code_1,0.004253285349739196
ECFP4.119,0.004223196065417479
ECFP4.33,0.0042015480945378735
ECFP4.29,0.0042011666044347975
ECFP4.111,0.00417899537794524
ECFP4.67,0.004161745360061279
ECFP4.19,0.004115598546010354
ECFP4.17,0.004112714572585123
ECFP4.13,0.004101359551503103
CPC_code_4,0.00407265062664024
ECFP4.86,0.004036638481710312
Funder_Type_4,0.003976496929082951
ECFP4.75,0.003960327285067524
ECFP4.16,0.003918478969432505
ECFP4.65,0.0038831853044365428
ECFP4.70,0.003828048633920076
ECFP4.101,0.003826125929750081
Allocation_Type_1,0.0038123627805749494
ECFP4.38,0.0038073003207678116
ECFP4.100,0.0038065427433173742
ECFP4.82,0.0037958270099646006
ECFP4.30,0.00378142593977302
ECFP4.110,0.0037716798547089286
ECFP4.63,0.003768301369849421
ECFP4.23,0.003765052018104632
ECFP4.56,0.0037393773603781604
ECFP4.85,0.003733242290020065
ECFP4.54,0.003728275155329167
ECFP4.31,0.003728109300835749
Allocation_Type_0,0.003725068350621799
ECFP4.95,0.003694069960565522
ECFP4.47,0.003683179376862893
ECFP4.87,0.003681946248045911
ECFP4.46,0.00366501599051678
ECFP4.80,0.003637348921965524
