Features,importance
Patent_#,0.051611477376193336
Country_1,0.03600589045111808
Duration,0.0322745198129948
Allocation_Type_3,0.03041843660248847
Funder_Type_1,0.03031626762288134
MW,0.028442756577308315
Refractivity,0.02644581211987385
claims_#,0.026295584611895663
Polarizability,0.02545508610412136
PSA,0.025302533822045403
logP,0.022738663397097344
Intervention_Model_3,0.01521944097240328
Intervention_Model_5,0.01518326923164474
Bond_#,0.01452271971944888
HBA,0.01387354939501527
Country_0,0.01231343304345103
Rings,0.01153910520466164
HBD,0.011427631616864614
Allocation_Type_1,0.01132681457030263
Funder_Type_4,0.009503099564681613
Funder_Type_2,0.008848576129181654
ECFP4.64,0.007286938780427465
CPC_code_5,0.006555313267224996
Age_code_0,0.006539362825716206
PCT_code_1,0.006479988581262852
ECFP4.1,0.006345366262350692
ECFP4.9,0.005453219549591671
ECFP4.103,0.005430901274375598
Gender_code_0,0.0054202313235079845
ECFP4.60,0.005200656898111524
PCT_code_2,0.005164153734036268
Intervention_Model_0,0.005091647179219484
ECFP4.91,0.005057871298416272
Age_code_1,0.0050095378569311585
ECFP4.45,0.004999567424259649
ECFP4.17,0.004750075379601609
ECFP4.55,0.004712559910237135
ECFP4.123,0.0046732340023882355
ECFP4.108,0.004654413346130209
ECFP4.49,0.004639449675431271
ECFP4.124,0.004539707239221604
ECFP4.80,0.0045388587422408415
ECFP4.89,0.004475822103399259
ECFP4.20,0.004473393255949203
ECFP4.106,0.004462693567539172
ECFP4.2,0.004319589764834663
ECFP4.70,0.004266055819135791
Gender_code_3,0.004262241472773706
ECFP4.51,0.004242328765703166
ECFP4.46,0.004150375356136907
ECFP4.97,0.004125131887973452
ECFP4.121,0.004119144547038173
ECFP4.37,0.00411347127159218
ECFP4.69,0.0041125626713488005
ECFP4.105,0.004109233556778277
ECFP4.18,0.004095623025558285
ECFP4.75,0.004064004388377122
ECFP4.3,0.004019450135447597
ECFP4.85,0.003995860991083117
ECFP4.87,0.003958516974788307
ECFP4.23,0.003947828292214468
ECFP4.58,0.00394578240222831
ECFP4.83,0.003938630339479737
ECFP4.86,0.00390041930502899
ECFP4.109,0.0038938818377311163
ECFP4.65,0.003888694474357343
ECFP4.29,0.003859024573297511
ECFP4.8,0.003858374122485795
ECFP4.115,0.0038532123679363523
