Features,importance
Patent_#,0.051936750603521625
Duration,0.03503906218287872
MW,0.030467861225262717
PSA,0.029109509514715932
claims_#,0.026959557872651717
Polarizability,0.026860763414562693
Refractivity,0.026306596025879876
Funder_Type_1,0.026208615425208134
logP,0.024871620277844328
Intervention_Model_5,0.020181337282718047
Intervention_Model_3,0.01976468114923101
Bond_#,0.015637721902859662
HBA,0.01266947325212052
Country_1,0.01262196549732084
Allocation_Type_3,0.012508387965492123
HBD,0.012038525031895779
Rings,0.011132521980695826
PCT_code_2,0.0078608507656024
Allocation_Type_1,0.007282960429901873
Country_0,0.006945149495926433
ECFP4.18,0.006596644937100842
Age_code_1,0.006392506060720013
Intervention_Model_1,0.0061654949663190696
ECFP4.122,0.006084914170388434
Funder_Type_2,0.005976968262514482
ECFP4.108,0.005885793763993789
ECFP4.9,0.005854169375406082
Country_2,0.0057766473924616216
ECFP4.91,0.005756635109465974
ECFP4.45,0.005749033061329651
PCT_code_1,0.005512779179527954
ECFP4.103,0.005264603285420728
ECFP4.48,0.005179229529719355
ECFP4.1,0.005063082038879899
ECFP4.80,0.005002805231089937
ECFP4.50,0.004967114363386799
ECFP4.2,0.004909987243564001
CPC_code_5,0.004877488402589895
ECFP4.13,0.004773272360672155
ECFP4.6,0.004750554601164595
Age_code_4,0.004743829826477278
ECFP4.19,0.004672178661592745
Intervention_Model_0,0.004665001492479172
ECFP4.106,0.004603764481061436
ECFP4.67,0.004567271440412512
ECFP4.95,0.004552740917729485
ECFP4.5,0.00452937864365774
ECFP4.14,0.004473679058969648
ECFP4.74,0.004471548539772642
ECFP4.35,0.004456642505902117
ECFP4.33,0.004447175929097112
ECFP4.20,0.004443313404877759
ECFP4.78,0.0044357583189740726
ECFP4.55,0.0044196123666550135
ECFP4.49,0.004383602137735718
ECFP4.123,0.004383342815371779
ECFP4.117,0.004348809031143007
Funder_Type_5,0.004344912438031208
ECFP4.75,0.004333015836998653
ECFP4.100,0.004293568828923754
ECFP4.32,0.0042650633467074435
