Features,importance
Patent_#,0.051092295381424534
Funder_Type_1,0.044909647006598774
Duration,0.029617621784213927
logP,0.026961421893538225
MW,0.025216055390233572
PSA,0.024655370919309437
Polarizability,0.024394270317645232
Refractivity,0.023890361405497586
claims_#,0.023261949633085872
Bond_#,0.015859490165533303
Allocation_Type_3,0.01520664398921347
HBA,0.014243661097085058
Intervention_Model_3,0.012358950076445283
Funder_Type_2,0.011793140659352108
Country_1,0.011454755171031361
Rings,0.01096371117548464
PCT_code_1,0.010758978335981384
HBD,0.01074912681779709
Intervention_Model_5,0.008475193240479793
Country_0,0.008452807453738274
Intervention_Model_0,0.008399610465685797
Allocation_Type_1,0.008015128426680668
Allocation_Type_0,0.006721948675679984
Country_2,0.006583801413804998
Gender_code_1,0.006439433108702506
Funder_Type_4,0.006430392898819574
ECFP4.14,0.00626824993020903
ECFP4.19,0.006089155011178413
PCT_code_2,0.006089053561324669
ECFP4.45,0.005841738780048306
Funder_Type_3,0.005749038661295601
ECFP4.108,0.005683345091558146
ECFP4.91,0.00559972566652185
ECFP4.65,0.005412626592105707
ECFP4.87,0.00518863797306506
Funder_Type_5,0.005145421521927964
ECFP4.13,0.005105928467569437
Gender_code_0,0.0050783612999815275
Age_code_1,0.004964687354871773
ECFP4.36,0.004956169933305037
ECFP4.1,0.004823245426822295
ECFP4.44,0.004786783043611368
ECFP4.48,0.004770648701720953
ECFP4.54,0.004741446263363436
ECFP4.6,0.004738630114469307
ECFP4.123,0.0046933411801979965
PCT_code_0,0.004687642331050402
CPC_code_5,0.004681306442497565
ECFP4.72,0.004672580732985721
ECFP4.75,0.004670197559127642
ECFP4.128,0.004642370274761755
ECFP4.20,0.004622823311411789
ECFP4.73,0.004622096510194677
ECFP4.60,0.004605728711141236
ECFP4.86,0.0045590180047956575
ECFP4.10,0.004514851120283355
ECFP4.18,0.004433409875583438
ECFP4.59,0.004417524553793998
ECFP4.95,0.004410402171855959
ECFP4.17,0.004384628001882758
ECFP4.122,0.004362099398820857
ECFP4.99,0.004359465556743202
ECFP4.64,0.004305087170528874
ECFP4.76,0.0043017015026477305
ECFP4.106,0.004301172144243763
Gender_code_3,0.004295302625467513
ECFP4.2,0.0042526346780027875
ECFP4.114,0.004241186473532401
ECFP4.46,0.0042276307637781445
ECFP4.74,0.0041869157498907825
ECFP4.126,0.004151729897119605
ECFP4.37,0.004130135467659336
ECFP4.103,0.0041229100940893704
ECFP4.124,0.0040889513028574435
ECFP4.3,0.004086485663625528
ECFP4.56,0.004070832505290555
ECFP4.69,0.004068852237081244
ECFP4.78,0.004063796012263241
ECFP4.9,0.004023741669753125
ECFP4.81,0.004010005474630745
ECFP4.66,0.004009084848670709
ECFP4.21,0.003980552168481974
ECFP4.107,0.0038843016544087726
ECFP4.109,0.003865940928744481
ECFP4.4,0.0038640519533105428
ECFP4.31,0.0038587059091241436
ECFP4.82,0.003850878780943256
ECFP4.50,0.003837192242142196
