Features,importance
Patent_#,0.05256074878324366
Duration,0.03479361599934275
Allocation_Type_3,0.03031845859815259
Refractivity,0.02602246986015347
PSA,0.02564817791609827
Polarizability,0.025532775566986573
claims_#,0.02521517198758274
MW,0.024461034936472267
logP,0.023746854338649915
Funder_Type_1,0.0224130979252803
Bond_#,0.01628300870003728
Intervention_Model_3,0.015480132286235418
HBA,0.012495075188853056
Rings,0.012391899991896747
Country_1,0.01200541607936859
HBD,0.011275729339689337
Funder_Type_2,0.010941982447340707
Intervention_Model_5,0.010938415069707814
Age_code_1,0.01023146111293454
ECFP4.9,0.009082393566875653
ECFP4.115,0.008218349529605675
Country_0,0.007914958865307175
ECFP4.58,0.0076714759258412046
ECFP4.64,0.007341535677661226
Allocation_Type_1,0.0071797344740956535
Allocation_Type_0,0.00717668431959212
ECFP4.30,0.006772415833425139
Age_code_3,0.006711466616359313
ECFP4.36,0.006313615768821375
ECFP4.48,0.0062910371333407
ECFP4.65,0.00574933586978807
ECFP4.89,0.005646651976750424
ECFP4.114,0.005376759504311622
ECFP4.34,0.00536152377632509
ECFP4.55,0.005296436326413575
ECFP4.78,0.005294904318114124
PCT_code_1,0.005192256655835118
ECFP4.2,0.005153448181462066
ECFP4.13,0.005133393919423473
ECFP4.10,0.005105198918262393
ECFP4.108,0.005083293011718847
ECFP4.76,0.005034995853728507
ECFP4.107,0.004983216372515407
ECFP4.14,0.004974801647991634
ECFP4.1,0.00481213176138734
ECFP4.51,0.004769401561436276
Intervention_Model_0,0.004766764792986724
ECFP4.35,0.004718588854211203
ECFP4.45,0.0047107525228585545
ECFP4.83,0.004676301093187796
ECFP4.4,0.0046666007893423215
Age_code_5,0.004659391425499133
ECFP4.99,0.0046500359990459
ECFP4.19,0.004612674618841391
ECFP4.68,0.004609967992870476
ECFP4.127,0.004598244690742015
ECFP4.87,0.004584860961724057
Funder_Type_0,0.004497774271622842
ECFP4.62,0.004470076210071677
ECFP4.46,0.004434020549508549
ECFP4.20,0.004411398695376306
ECFP4.123,0.0043954991849706184
ECFP4.106,0.004373691358408434
ECFP4.31,0.004369786535458272
ECFP4.43,0.0043658156942705
ECFP4.37,0.004352822444307177
PCT_code_2,0.004340081982426807
ECFP4.70,0.004337951168619341
ECFP4.75,0.004329022524051512
ECFP4.117,0.004285269130550556
ECFP4.118,0.004250867613702347
ECFP4.73,0.004250539964281679
Gender_code_0,0.004248489525994905
ECFP4.60,0.004228387289511681
ECFP4.61,0.004227913654968056
ECFP4.6,0.004171112628521893
Gender_code_3,0.004100337460711283
ECFP4.12,0.004091016286937607
ECFP4.54,0.004070085379694615
ECFP4.126,0.004031276144851234
ECFP4.33,0.004027817439742761
ECFP4.3,0.004024260318082797
ECFP4.103,0.004012896124335571
ECFP4.109,0.003998118203175075
ECFP4.38,0.0039760433834146215
ECFP4.56,0.003973518229729691
ECFP4.74,0.003946152438119485
ECFP4.120,0.003944101428177677
ECFP4.100,0.0038949874759133946
ECFP4.28,0.0038705031372090696
ECFP4.16,0.0038571779784799705
ECFP4.105,0.003843632895930157
ECFP4.69,0.0038401027347918933
ECFP4.63,0.0037913271126008923
ECFP4.111,0.0037906186729951114
ECFP4.85,0.0037819639540188077
ECFP4.124,0.0037464809502511603
ECFP4.18,0.0037365574834829136
ECFP4.50,0.0037336553059412296
ECFP4.67,0.0036995215828740497
ECFP4.24,0.0036838493786619402
ECFP4.121,0.0035911983479070247
ECFP4.25,0.0035675998486497194
ECFP4.52,0.003544462407526436
ECFP4.39,0.0035304337489279413
ECFP4.17,0.00346002785088434
ECFP4.8,0.003458876415030886
ECFP4.95,0.0034514855260463152
ECFP4.41,0.0034474135592057324
ECFP4.91,0.003442119777039695
ECFP4.128,0.00342046945951758
ECFP4.122,0.0033974923318814206
ECFP4.90,0.00338426420308009
ECFP4.72,0.0033790975550868673
ECFP4.104,0.003374956456969441
ECFP4.80,0.0033748217086019927
ECFP4.21,0.0033653138627239543
ECFP4.97,0.003361480264379951
ECFP4.59,0.003293136944309884
