Features,importance
Patent_#,0.05820446855707106
Funder_Type_1,0.035664643798900574
Country_1,0.03491024921805534
Duration,0.032746797195029376
PSA,0.026644993443499656
MW,0.02587599535537753
claims_#,0.024810687199650617
Refractivity,0.02442621434899859
Polarizability,0.022640491990377223
logP,0.021475951134644046
Allocation_Type_3,0.019542752073296598
Intervention_Model_5,0.016747227444144145
Intervention_Model_3,0.015605100240756054
Bond_#,0.01559679892974195
Country_0,0.013721212559239885
Age_code_1,0.012321927167046262
HBA,0.01195408045029363
Funder_Type_4,0.011923892973884506
HBD,0.011779975755733996
Rings,0.009781751797581107
PCT_code_1,0.009659985246725959
PCT_code_2,0.008212458960165068
Allocation_Type_1,0.00796948205913678
Funder_Type_2,0.006926033186707809
ECFP4.9,0.006837924920658151
Country_2,0.006828185974741627
ECFP4.1,0.006450774202562392
Age_code_0,0.00614709159988432
ECFP4.76,0.005293021142401045
ECFP4.108,0.005291146929134337
ECFP4.124,0.005056358538517721
ECFP4.79,0.004989765102761045
ECFP4.74,0.0049846923214870945
ECFP4.64,0.004900365846005398
ECFP4.106,0.0048957163816715455
ECFP4.87,0.004854799977864123
ECFP4.6,0.004846267790544244
ECFP4.60,0.004774522619114028
ECFP4.45,0.004667471327261452
ECFP4.120,0.004617065305571528
ECFP4.97,0.00454897630244221
ECFP4.69,0.0044850820263108585
ECFP4.123,0.0044395929958638515
ECFP4.121,0.004437922984088981
ECFP4.126,0.004372933883085029
ECFP4.20,0.004318225185422181
ECFP4.91,0.004250868511967038
ECFP4.119,0.004245305091733407
ECFP4.37,0.004212853050463592
ECFP4.49,0.00419876943917654
ECFP4.73,0.0041801368288310135
ECFP4.13,0.004128353676589458
Intervention_Model_0,0.004022295422246991
ECFP4.18,0.003982065527284241
ECFP4.65,0.003976652156760557
ECFP4.66,0.003975369519193897
ECFP4.128,0.003973361805699925
ECFP4.17,0.003968985766556533
ECFP4.46,0.003962020638338844
ECFP4.29,0.003950252334923407
Gender_code_0,0.003945285827903714
ECFP4.114,0.00391414100395792
ECFP4.50,0.003909514002971231
ECFP4.39,0.003903969553888881
ECFP4.89,0.00389823039530272
ECFP4.115,0.0038844413914872183
ECFP4.107,0.0038226501022838983
ECFP4.80,0.0038017502525727258
ECFP4.95,0.0037854802920815407
ECFP4.8,0.003771996547176334
ECFP4.2,0.00375702997426367
CPC_code_5,0.0037337418431069753
ECFP4.48,0.003719280978216452
ECFP4.56,0.00371497244695707
ECFP4.67,0.0037012113064300214
ECFP4.122,0.0036959761452008545
ECFP4.58,0.0036805007911282716
ECFP4.33,0.003630660674688436
Allocation_Type_2,0.003619288520130134
ECFP4.72,0.003593167161429579
ECFP4.59,0.0035770723081063067
ECFP4.55,0.0035763724007352644
ECFP4.70,0.003564868241437128
ECFP4.31,0.0035381508633915825
ECFP4.94,0.0034859232634607603
ECFP4.100,0.0034822750875728864
ECFP4.68,0.00347492866577992
ECFP4.81,0.003438734530149399
ECFP4.99,0.0034266070205402257
ECFP4.14,0.0034257991040630336
ECFP4.86,0.003399951287795724
ECFP4.75,0.0033598414550807614
ECFP4.25,0.003300205432155897
Funder_Type_5,0.0032997588180247494
ECFP4.71,0.0032978291633089358
ECFP4.111,0.0032895651830974924
ECFP4.38,0.0032705132612072803
ECFP4.83,0.0032689572435508356
ECFP4.109,0.0032629395340177435
ECFP4.3,0.0032339761619371073
ECFP4.43,0.00323303165157411
Age_code_5,0.0032312993583611606
ECFP4.78,0.003192456684624159
ECFP4.62,0.0031879800356342507
ECFP4.40,0.003170078385451984
ECFP4.117,0.0031698251980900264
ECFP4.23,0.0031690370303392294
ECFP4.16,0.0031657150144986305
ECFP4.34,0.0031649371876254057
ECFP4.63,0.0031445765005784186
ECFP4.5,0.0031209852652405766
ECFP4.7,0.00311256755786167
ECFP4.28,0.003111401608081163
Gender_code_3,0.00310803072717322
ECFP4.92,0.0030863131711484373
ECFP4.36,0.0030837145156312282
ECFP4.82,0.00307899573247246
ECFP4.77,0.0030763474557846037
ECFP4.85,0.003074121048736611
ECFP4.44,0.0030597772813635866
ECFP4.98,0.003056307905247468
ECFP4.12,0.0030463081101555806
ECFP4.88,0.0030229798555780228
ECFP4.53,0.003011375171744099
ECFP4.104,0.002993734047049236
ECFP4.4,0.002984571963332469
ECFP4.35,0.002975198288702533
ECFP4.19,0.0029745458598053644
ECFP4.41,0.002958696852596715
ECFP4.51,0.0029147912283963412
ECFP4.125,0.0029025936098026604
ECFP4.112,0.0029004782497674187
Allocation_Type_0,0.002878842559672176
ECFP4.32,0.002868954162502586
ECFP4.11,0.002868853386204265
Bioavailability_1,0.002864893758555254
ECFP4.103,0.0028598304331258805
ECFP4.110,0.0028265916910943955
ECFP4.47,0.0028095389758191684
ECFP4.61,0.0027753191343306443
ECFP4.102,0.002758267767854685
ECFP4.113,0.002714745581948222
ECFP4.15,0.0026979749329706627
ECFP4.30,0.002667863691321258
ECFP4.27,0.0026586111437762526
ECFP4.93,0.0026469096840776116
Funder_Type_0,0.0026439153381082525
ECFP4.118,0.002613288738475144
ECFP4.57,0.0025912543735593613
PCT_code_0,0.0025649393021625606
Bioavailability_2,0.002499720755337264
ECFP4.10,0.002446614672568087
ECFP4.24,0.002419868182882647
ECFP4.101,0.0024052103022053272
ECFP4.105,0.0023957708737300833
ECFP4.96,0.002343658471203537
ECFP4.42,0.0023186768916718206
ECFP4.54,0.0023163513317217017
ECFP4.84,0.002210370374329648
Funder_Type_3,0.0021829430703294837
ECFP4.22,0.0021602383515924545
Gender_code_2,0.00215424548078442
ECFP4.90,0.0021366696299786156
ECFP4.52,0.0021017668605542543
ECFP4.127,0.002085618136212727
Gender_code_1,0.002083359447400025
ECFP4.116,0.002055781329018791
ECFP4.26,0.0020552152819013447
CPC_code_4,0.0019340216237955185
Age_code_4,0.0019246887145136734
ECFP4.21,0.0018966004890881786
CPC_code_2,0.0017463630211784656
Country_3,0.0017438026721331543
CPC_code_3,0.001732463320568617
Intervention_Model_1,0.0015170385319919926
CPC_code_0,0.0014726367728583787
Bioavailability_0,0.0013897650280616453
Country_4,0.0013707723247293193
Country_5,0.0011376044904539296
CPC_code_1,0.0010244907196382642
Age_code_2,0.0006337902814747311
Age_code_3,0.00037958174305262484
Intervention_Model_2,0.00024340709927924336
Intervention_Model_4,2.160406594573754e-05
