Features,importance
Patent_#,0.05661295058896124
Funder_Type_1,0.049817046749156074
Duration,0.033321583292181246
claims_#,0.026788067467532244
MW,0.025075839757883123
PSA,0.023366907269940576
Polarizability,0.02298285792700691
logP,0.02280793003541477
Refractivity,0.02129282850649024
Allocation_Type_3,0.019694486116850426
Funder_Type_2,0.017699780402912937
Bond_#,0.015074340023912735
Intervention_Model_3,0.014193102254263646
HBA,0.012978686382478651
HBD,0.011106495561050452
Country_1,0.010751714184381445
Rings,0.010126624377428775
Intervention_Model_5,0.009271454263834673
Allocation_Type_1,0.009228445522342518
CPC_code_5,0.009063043883580668
Country_0,0.008577514957080888
PCT_code_2,0.008361603785422264
PCT_code_1,0.00810497675909355
ECFP4.9,0.0071303453687846545
Allocation_Type_0,0.006773248900345383
ECFP4.91,0.006527180615444389
Intervention_Model_0,0.005942380815341938
ECFP4.48,0.005942095817479022
ECFP4.1,0.00590726354337274
ECFP4.13,0.005737456828530182
ECFP4.59,0.005654959814264297
ECFP4.123,0.005146836757353935
ECFP4.108,0.0050893453102234506
ECFP4.104,0.005014106111057217
ECFP4.81,0.005012109615122812
ECFP4.103,0.00498000042223002
ECFP4.45,0.004978453373151257
ECFP4.14,0.004814996794677135
ECFP4.64,0.004788433151208501
ECFP4.74,0.004734502887122739
ECFP4.114,0.004717592421844927
ECFP4.128,0.004667772926645143
ECFP4.50,0.004587115515020914
ECFP4.31,0.00457489866681959
ECFP4.85,0.004561760844112047
ECFP4.80,0.004557030620724397
ECFP4.2,0.004547102000894184
ECFP4.109,0.004492892827018091
ECFP4.20,0.004457535480386757
ECFP4.122,0.004429561166013502
CPC_code_4,0.004422581805228815
ECFP4.60,0.004373942164531553
ECFP4.65,0.004357077878623358
ECFP4.17,0.004351239951210666
ECFP4.23,0.004347724019618454
ECFP4.86,0.004337880827629166
Age_code_1,0.0043309592565153095
ECFP4.69,0.0043145662429002595
ECFP4.73,0.004273965204670752
ECFP4.34,0.004269560804151017
ECFP4.99,0.004266279006114456
ECFP4.39,0.004258323355426635
ECFP4.56,0.0042403753452941164
ECFP4.95,0.004159280439088946
ECFP4.49,0.004156470255271313
ECFP4.68,0.0041234059494571675
ECFP4.30,0.003986526103626564
ECFP4.36,0.003965472589445463
ECFP4.75,0.003945869936671889
ECFP4.28,0.003938657290900452
ECFP4.6,0.003936699028904503
ECFP4.3,0.003917650331710429
ECFP4.37,0.0038632755231156847
ECFP4.100,0.003834225966548358
ECFP4.124,0.0038189047807444653
ECFP4.18,0.0037865319274100525
ECFP4.7,0.003764779979300727
ECFP4.119,0.0037521924775395406
ECFP4.33,0.0037429478953930682
ECFP4.72,0.003731811720885957
Country_2,0.0037278539077056387
ECFP4.29,0.003711552591620337
ECFP4.116,0.0036437445180539803
ECFP4.89,0.0036354428081892204
ECFP4.110,0.0036266698147000976
ECFP4.63,0.003606853310091428
ECFP4.55,0.003605710913063465
ECFP4.117,0.0036049805639029723
ECFP4.12,0.003577631718792557
ECFP4.8,0.0035486477481316164
ECFP4.46,0.0035429665729499325
Funder_Type_0,0.0035273468022769434
ECFP4.76,0.0034779066650233942
ECFP4.27,0.003474087156172377
ECFP4.38,0.0034654225012787547
ECFP4.15,0.003461385445976959
ECFP4.70,0.0034600897303801803
Gender_code_0,0.003449376529878294
ECFP4.92,0.0034164924783559
ECFP4.106,0.003402621608734305
ECFP4.58,0.0033935680363865544
ECFP4.118,0.003381475165410551
ECFP4.41,0.00337582078788463
ECFP4.120,0.0033696913451402534
Country_4,0.0033547416705263346
ECFP4.54,0.003342316505976298
ECFP4.24,0.003327887719580952
ECFP4.57,0.0033239158555648934
Age_code_0,0.003313789875163212
ECFP4.126,0.0033099257124773527
