Features,importance
Patent_#,0.053028356200006135
Duration,0.03625072250670783
Funder_Type_1,0.028124855537898216
PSA,0.027377111078001243
MW,0.025942808825587953
claims_#,0.025085831546754957
logP,0.024769832005793645
Polarizability,0.024567628286879327
Refractivity,0.02417872815577538
Country_1,0.021553997159961754
Bond_#,0.01491009739410971
Rings,0.012447912407733368
HBD,0.012240981791666983
HBA,0.011878056463112643
Intervention_Model_5,0.010726671132938882
Allocation_Type_3,0.010469122512537217
Country_0,0.009398192344871764
ECFP4.9,0.009268424416385417
Funder_Type_2,0.00895380395938706
PCT_code_1,0.008454880835381519
ECFP4.45,0.007852850880705937
PCT_code_2,0.007610343411026593
ECFP4.108,0.007543602304872756
Age_code_1,0.0074830221505354155
ECFP4.14,0.007253151691536386
Intervention_Model_1,0.007172217606796796
ECFP4.97,0.006950207135871539
ECFP4.123,0.006799344866842333
Country_2,0.006786711936047922
Intervention_Model_3,0.006128435427571505
ECFP4.48,0.006069407019697238
ECFP4.36,0.006020094498702361
ECFP4.114,0.005707054085302944
ECFP4.106,0.005685369179147137
CPC_code_5,0.005601652743684533
ECFP4.1,0.00556960518393779
ECFP4.63,0.0054645090413732115
ECFP4.64,0.005306162647275125
ECFP4.59,0.005252809985227469
Funder_Type_5,0.0052295618231998795
ECFP4.80,0.005035482258944888
ECFP4.91,0.00498059653095161
ECFP4.13,0.0048969595853716715
ECFP4.74,0.004854837853625534
ECFP4.6,0.0048291757633486705
ECFP4.75,0.004776158237566294
ECFP4.82,0.0047597289476471565
ECFP4.111,0.004640306186134186
ECFP4.124,0.004619009519197195
ECFP4.73,0.004611537486374607
ECFP4.103,0.004606383788598695
ECFP4.4,0.0045971625774492335
ECFP4.69,0.00459479739554149
ECFP4.70,0.00459103848796235
ECFP4.120,0.0045422161806358205
ECFP4.104,0.004541548037313092
ECFP4.81,0.004540330429380585
ECFP4.18,0.004527287116855265
ECFP4.128,0.004493395199108155
ECFP4.31,0.004470373504693574
ECFP4.95,0.004388419607511376
ECFP4.33,0.004386178949753936
ECFP4.17,0.004331507405639427
ECFP4.119,0.004311830919185414
ECFP4.109,0.004287894243441887
Allocation_Type_1,0.004280886736729139
ECFP4.66,0.0042736794787147005
ECFP4.122,0.004255243870669511
ECFP4.76,0.004235567972292552
ECFP4.65,0.004224683770873587
ECFP4.62,0.00421087676676847
ECFP4.85,0.004151028395159665
ECFP4.49,0.004129323131637257
ECFP4.61,0.004116869140363054
ECFP4.37,0.004110091191786531
ECFP4.35,0.004064851761073607
ECFP4.7,0.004048799916427561
ECFP4.39,0.004024284950099187
ECFP4.112,0.004023019454251206
ECFP4.60,0.0040067303951472
ECFP4.46,0.004003520734647393
ECFP4.67,0.004000053198209504
ECFP4.72,0.003966373742781774
ECFP4.2,0.003956673290814133
ECFP4.56,0.003954824681991978
ECFP4.50,0.003954593914183045
ECFP4.89,0.00395207713076949
ECFP4.53,0.003927109346772634
ECFP4.25,0.0038486122935055835
ECFP4.58,0.003836792806693703
ECFP4.15,0.0038013640347648063
ECFP4.115,0.003776589354546316
ECFP4.28,0.0037688249478151133
ECFP4.105,0.00376665599485555
ECFP4.20,0.003764373639321787
ECFP4.99,0.0037600926543768735
ECFP4.78,0.0037549715014205728
ECFP4.8,0.003754173022117613
Intervention_Model_0,0.003697961538573017
ECFP4.3,0.0036925778647590637
ECFP4.90,0.0036832540318434063
ECFP4.30,0.003594593691005825
ECFP4.118,0.0035867873688322925
ECFP4.68,0.0035521552860791144
ECFP4.16,0.0035518850194044037
ECFP4.102,0.0035504117952051034
Funder_Type_4,0.003545458384500312
ECFP4.5,0.0035307669907268025
ECFP4.43,0.0035002161096343754
ECFP4.86,0.0034902309712951775
ECFP4.121,0.0034357843070283505
ECFP4.110,0.0033776724932997465
PCT_code_0,0.003310564300844064
ECFP4.116,0.003308794618012516
ECFP4.100,0.0033042159514568114
ECFP4.101,0.0033033975186716334
ECFP4.54,0.0033008255288077726
ECFP4.71,0.0032973418030098228
ECFP4.12,0.003295563771441349
ECFP4.55,0.003295383744938693
ECFP4.83,0.0032868904841469614
Allocation_Type_0,0.0032601925737895466
Gender_code_0,0.0032513914417554883
ECFP4.34,0.0032458063570955735
ECFP4.51,0.0032357753391303364
ECFP4.27,0.00322595789873168
Bioavailability_1,0.0031716658838556204
ECFP4.79,0.003170575750087102
ECFP4.87,0.0031646976529648273
ECFP4.29,0.0031316499011811187
ECFP4.94,0.0031283079726323743
ECFP4.126,0.0031163688654337186
ECFP4.11,0.0030884385970701223
ECFP4.38,0.003041950891474041
ECFP4.10,0.003037010543195241
ECFP4.92,0.0030325928436158557
ECFP4.52,0.0029889257326351083
ECFP4.96,0.002975804090782211
ECFP4.19,0.002956542916861409
ECFP4.113,0.002929847551300798
