Features,importance
Funder_Type_1,0.04932653337844678
Patent_#,0.03940306261312589
Duration,0.028153003685828307
PSA,0.02703748336233637
Country_1,0.026172452894475725
claims_#,0.02600997028476448
logP,0.025950928523395547
MW,0.025659669840705324
Intervention_Model_3,0.02565078628478068
Polarizability,0.022871177887345575
Refractivity,0.02257003503055501
Allocation_Type_3,0.020998215782076893
Bond_#,0.014470391620068523
HBA,0.013303546685016224
Funder_Type_4,0.011821633585403588
Intervention_Model_5,0.011296579353005537
Rings,0.011031597548742143
Intervention_Model_0,0.010721330859043993
HBD,0.010333817456884775
ECFP4.9,0.009781536784733483
ECFP4.108,0.009279158778091512
Funder_Type_2,0.00864931811099833
Age_code_0,0.008496793525452339
Country_0,0.00846398319481917
Allocation_Type_1,0.007077731858359937
PCT_code_2,0.007050623933848065
Gender_code_2,0.006300591766040778
ECFP4.60,0.006160790626653965
Age_code_1,0.005947576855423154
ECFP4.48,0.005918995108164273
ECFP4.123,0.00552230131019711
Country_2,0.005462309057924387
ECFP4.73,0.005369656366134176
ECFP4.2,0.0052508274984933885
ECFP4.18,0.0051506676425530215
ECFP4.50,0.005143616574154146
Allocation_Type_0,0.005074129100858621
PCT_code_1,0.004981526079913706
Gender_code_0,0.004946655814194258
CPC_code_5,0.0047453273333050465
ECFP4.45,0.004696236155099841
ECFP4.65,0.0045788173743421525
ECFP4.124,0.004549368186958991
ECFP4.95,0.004540541719961302
ECFP4.91,0.004510867385732595
ECFP4.87,0.004484219330579458
ECFP4.103,0.004372118852057593
ECFP4.16,0.004319741706235531
Gender_code_1,0.004283520435944335
ECFP4.1,0.004283277300314038
ECFP4.126,0.004258018055134724
ECFP4.115,0.004248957912114185
ECFP4.17,0.004223851593593577
ECFP4.55,0.004209654414730989
ECFP4.20,0.0041594640722190926
ECFP4.78,0.004143660383254511
ECFP4.3,0.0041345225297141075
ECFP4.76,0.004133963130785864
ECFP4.53,0.004125134676615082
ECFP4.39,0.004124443919562778
ECFP4.56,0.004118826431849713
ECFP4.14,0.004088266553268181
ECFP4.37,0.004080778046681944
ECFP4.82,0.004032668192238072
ECFP4.67,0.004008919953128142
ECFP4.30,0.003972036318296763
ECFP4.6,0.003924802329388632
ECFP4.99,0.003906297290051129
ECFP4.114,0.0038568162292665783
Age_code_5,0.0038492187362414265
ECFP4.106,0.0038277641162098915
ECFP4.64,0.003825457305637559
ECFP4.13,0.003774692829895638
ECFP4.62,0.0036963141968766374
ECFP4.120,0.0036955310979464033
ECFP4.46,0.0036815054198055712
ECFP4.122,0.003651360885532425
ECFP4.59,0.003629080022244796
ECFP4.86,0.0036081251147137487
ECFP4.97,0.003586911785914137
ECFP4.49,0.0035731840221129283
ECFP4.111,0.0035684734304278613
ECFP4.72,0.0035345487160450073
ECFP4.51,0.0035310410886255227
ECFP4.28,0.0035221950584088746
ECFP4.19,0.003516399696376323
Funder_Type_5,0.0034918627513765626
ECFP4.104,0.0034907196639601275
ECFP4.128,0.0034881849349207242
ECFP4.85,0.0034838581429236476
ECFP4.74,0.0034831547271265474
ECFP4.69,0.0034829330258091605
ECFP4.29,0.0034555111720608817
ECFP4.75,0.003438980774286197
ECFP4.36,0.003384631866133105
ECFP4.68,0.0033756906229359977
ECFP4.63,0.0033533916358934506
ECFP4.79,0.003350684729989106
ECFP4.70,0.003293346180106175
ECFP4.10,0.0032726492071139157
Gender_code_3,0.003271226127805716
ECFP4.110,0.00325677313905349
ECFP4.25,0.0032473895877772802
ECFP4.102,0.003239791021257773
ECFP4.121,0.003239081074305232
ECFP4.80,0.0032227714463016945
ECFP4.119,0.0032211605300160213
ECFP4.89,0.0032165657994537174
ECFP4.5,0.0032128882092056304
ECFP4.42,0.0031943905813053438
ECFP4.113,0.003131848932567643
ECFP4.31,0.003120770797509408
ECFP4.33,0.0031192259346917097
ECFP4.15,0.0031150180928922367
ECFP4.100,0.003089272675371529
ECFP4.71,0.003073708154340398
ECFP4.101,0.0030309219544873687
ECFP4.47,0.003022850497586399
ECFP4.112,0.0030167517057299036
ECFP4.32,0.003010692505696587
ECFP4.118,0.002968649593923902
ECFP4.105,0.002946018440376856
ECFP4.4,0.0029206608508334396
ECFP4.35,0.0029002556097842
ECFP4.58,0.0028961877152290714
