Name,Conditions,NCT_Number,Phases,Prob_unapproval,Prob_approval
_EXEMESTANE,OVARIAN CANCER,NCT04460807,Phase 3,0.14372312526986888,0.8562768747301311
_LETROZOLE,OVARIAN CANCER,NCT03378297,Early Phase 1,0.09543002100802,0.9045699789919801
_METFORMIN,OVARIAN CANCER,NCT03378297,Early Phase 1,0.06245501631379418,0.9375449836862058
_ASPIRIN,OVARIAN CANCER,NCT03378297,Early Phase 1,0.06717995237151539,0.9328200476284846
_OLAPARIB,OVARIAN CANCER,NCT03378297,Early Phase 1,0.23492412859996747,0.7650758714000325
_FLUTAMIDE,PCOS,NCT00930228,Phase 1,0.4323180331031528,0.5676819668968472
_ENZALUTAMIDE,OVARIAN CANCER,NCT03464201,Phase 2,0.4087669969686395,0.5912330030313606
_GEMCITABINE,ADVANCED PANCREATIC CANCER,NCT04098081,Phase 2,0.46767816846867694,0.5323218315313231
_GALETERONE,ADVANCED PANCREATIC CANCER,NCT04098081,Phase 2,0.30939801314450116,0.6906019868554987
_PACLITAXEL,PANCREATIC CANCER,NCT04054362,Phase 2,0.2152055159381029,0.784794484061897
_PARICALCITOL,PANCREATIC CANCER,NCT04054362,Phase 2,0.13733260653142482,0.8626673934685753
_LIDOCAINE,PANCREATIC CANCER,NCT04048278,Early Phase 1,0.08483586862118678,0.9151641313788135
_LIDOCAINE_HYDROCHLORIDE,PANCREATIC CANCER,NCT04048278,Early Phase 1,0.11886292141038961,0.8811370785896103
_HYDROXYCHLOROQUINE,TYPE 1 DIABETES,NCT03428945,Phase 2,0.1565282489016027,0.8434717510983973
_DEXAMETHASONE,DIABETIC FOOT,NCT03871049,Not Applicable,0.006358740229341977,0.9936412597706581
_BUPIVACAINE,DIABETIC FOOT,NCT03871049,Not Applicable,0.044489403273992464,0.9555105967260076
_CHOLINE,GESTATIONAL DIABETES,NCT04302168,Not Applicable,0.21703628314299325,0.7829637168570066
_ANLOTINIB,OVARIAN CANCER,NCT03924882,Phase 2,0.4423078964442365,0.5576921035557635
_SUNITINIB,PANCREATIC NEUROENDOCRINE TUMORS,NCT02282059,,0.24711149703484991,0.7528885029651501
_DOXORUBICIN_HYDROCHLORIDE,OVARIAN CANCER,NCT04337632,Phase 3,0.3681961481086386,0.6318038518913616
_LIPOIC_ACID,"STROKE, ISCHEMIC",NCT04041167,Phase 3,0.08212038305258336,0.9178796169474167
_ROSUVASTATIN,OVARIAN CANCER,NCT03532139,Phase 2,0.24120559793359736,0.7587944020664027
_ESMOLOL,DIABETIC FOOT ULCER,NCT03998436,Phase 3,0.08692202192624464,0.9130779780737553
_ESMOLOL_HYDROCHLORIDE,DIABETIC FOOT ULCER,NCT03998436,Phase 3,0.18882249291754566,0.8111775070824544
_LOSARTAN,PANCREATIC CANCER,NCT03563248,Phase 2,0.08762411420344957,0.9123758857965505
_METFORMIN_HYDROCHLORIDE,HEART FAILURE,NCT03331861,Phase 2,0.11240993083489957,0.8875900691651004
_METFORMIN,HEART FAILURE,NCT03331861,Phase 2,0.0,1.0
_DAPAGLIFLOZIN,PCOS,NCT04213677,Phase 3,0.05794933661772623,0.942050663382274
_DAPAGLIFLOZIN,TYPE 1 DIABETES,NCT03899402,Phase 2|Phase 3,0.010299677325229356,0.9897003226747707
_SEMAGLUTIDE,TYPE 1 DIABETES,NCT03899402,Phase 2|Phase 3,0.07733673588484759,0.9226632641151524
_DAPAGLIFLOZIN,AGING,NCT04401904,Phase 1|Phase 2,0.010299677325229356,0.9897003226747707
_MOXIFLOXACIN,DIABETES,NCT01984827,Phase 1,0.44134616442117597,0.5586538355788241
_FLUOXETINE,TYPE 1 DIABETES,NCT03228732,Early Phase 1,0.19606000422932238,0.8039399957706778
_FENTANYL,PANCREATIC CANCER,NCT03434678,Phase 3,0.12613388523901709,0.873866114760983
_BUPIVACAINE,PANCREATIC CANCER,NCT03434678,Phase 3,0.10369166962176844,0.8963083303782317
_PROPOFOL,PANCREATIC CANCER,NCT03434678,Phase 3,0.1089561842309595,0.8910438157690405
_ROCURONIUM,PANCREATIC CANCER,NCT03434678,Phase 3,0.33391528256768654,0.6660847174323132
_TRIAMCINOLONE,PROLIFERATIVE DIABETIC RETINOPATHY,NCT02447185,Phase 3,0.031723209648956294,0.9682767903510436
_TRIAMCINOLONE_ACETONIDE,PROLIFERATIVE DIABETIC RETINOPATHY,NCT02447185,Phase 3,0.07090086334534042,0.9290991366546599
_NALOXONE,"DIABETES MELLITUS, TYPE 1",NCT03149770,Phase 2,0.21501147916212374,0.7849885208378761
_MAGNESIUM_CITRATE,DIABETIC NEPHROPATHY,NCT03824379,Phase 2,0.10833287931528578,0.8916671206847144
_APATINIB,PANCREATIC CANCER,NCT04415385,Phase 2,0.11295308598205615,0.8870469140179438
_EMPAGLIFLOZIN,TYPE 1 DIABETES,NCT04201496,Phase 1,0.13392839848755633,0.8660716015124437
_EMPAGLIFLOZIN,GESTATIONAL DIABETES,NCT03215069,Phase 3,0.1075763481959023,0.8924236518040978
_EMPAGLIFLOZIN,PREDIABETIC STATE|INSULIN RESISTANCE,NCT04131582,Phase 3,0.0008955093482439279,0.9991044906517561
