Name,Conditions,NCT_Number,Phases,Prob_unapproval,Prob_approval
_PREDNISONE,SYSTEMIC LUPUS ERYTHEMATOSUS,NCT03492255,Not Applicable,0.0024186665672255273,0.9975813334327743
_CYCLOPHOSPHAMIDE,SYSTEMIC LUPUS ERYTHEMATOSUS,NCT03492255,Not Applicable,0.0042981683390073714,0.9957018316609927
_METHYLPREDNISOLONE,SYSTEMIC LUPUS ERYTHEMATOSUS,NCT03492255,Not Applicable,0.002118586476384642,0.9978814135236154
_MYCOPHENOLATE_MOFETIL,SYSTEMIC LUPUS ERYTHEMATOSUS,NCT03492255,Not Applicable,0.007256100468294097,0.9927438995317058
_HYDROCORTISONE,HIV INFECTION,NCT03237689,Early Phase 1,0.1303009232236863,0.8696990767763135
_HYDROXYCHLOROQUINE,PROSTATE CANCER,NCT03513211,Phase 1|Phase 2,0.07093876647770919,0.9290612335222908
_HYDROXYCHLOROQUINE,TYPE 1 DIABETES,NCT03428945,Phase 2,0.050719993215982834,0.9492800067840171
_SUNITINIB,STOMACH NEOPLASMS,NCT03170180,Phase 2,0.49887082614896505,0.501129173851035
_IMATINIB,STOMACH NEOPLASMS,NCT03170180,Phase 2,0.18746361284005036,0.8125363871599497
_GEFITINIB,STOMACH NEOPLASMS,NCT03170180,Phase 2,0.28135482958563307,0.7186451704143668
_DOXORUBICIN_HYDROCHLORIDE,OVARIAN CANCER,NCT04337632,Phase 3,0.18404738312820623,0.8159526168717933
_CURCUMIN,SYSTEMIC LUPUS ERYTHEMATOSUS,NCT03953261,Phase 2,0.14172053691889025,0.8582794630811097
_CAFFEINE,HIV INFECTION,NCT04425902,Phase 1,0.376700712446105,0.6232992875538951
_PRAVASTATIN,HIV INFECTION,NCT04425902,Phase 1,0.2752124654338945,0.7247875345661055
_METOPROLOL,HIV INFECTION,NCT04425902,Phase 1,0.3339176392377172,0.6660823607622827
_OMEPRAZOLE,HIV INFECTION,NCT04425902,Phase 1,0.2309237964487952,0.7690762035512045
_MONTELUKAST,HIV INFECTION,NCT04425902,Phase 1,0.17263543743954127,0.8273645625604585
_MIDAZOLAM,HIV INFECTION,NCT04425902,Phase 1,0.2860695163537007,0.7139304836462991
_DIGOXIN,HIV INFECTION,NCT04425902,Phase 1,0.35173011084601896,0.6482698891539812
_FLURBIPROFEN,HIV INFECTION,NCT04425902,Phase 1,0.27359906353374897,0.7264009364662509
_METFORMIN,RHEUMATOID ARTHRITIS,NCT04068246,Early Phase 1,0.0008787182769703913,0.9991212817230296
_ANGIOTENSIN,RHEUMATOID ARTHRITIS,NCT03770702,Phase 3,0.2890181947906257,0.7109818052093745
_MONTELUKAST,RHEUMATOID ARTHRITIS,NCT03770923,Phase 3,0.0018517968517968518,0.9981482031482031
_RUPATADINE,RHEUMATOID ARTHRITIS,NCT03770923,Phase 3,0.2416807747863974,0.7583192252136024
