Name,Conditions,NCT_Number,Phases,Prob_unapproval,Prob_approval
_ESTRADIOL,URINARY TRACT INFECTIONS,NCT04301934,Not Applicable,0.020534558381370544,0.9794654416186295
_ESTROGEN,URINARY TRACT INFECTIONS,NCT04301934,Not Applicable,0.03772404007535585,0.9622759599246442
_METHYLPREDNISOLONE,PNEUMONIA,NCT03852537,Phase 2,0.021068082522587926,0.978931917477412
_LIDOCAINE,POMPE DISEASE,NCT02240407,Phase 1,0.09158091145473954,0.9084190885452605
_ACETAMINOPHEN,POMPE DISEASE,NCT02240407,Phase 1,0.09898617435252628,0.9010138256474738
_DIPHENHYDRAMINE,POMPE DISEASE,NCT02240407,Phase 1,0.22823511394870694,0.7717648860512932
_VANCOMYCIN,OSTEOARTHRITIS,NCT04075526,Not Applicable,0.0,1.0
_VANCOMYCIN,PERITONEAL DIALYSIS-ASSOCIATED PERITONITIS,NCT03685747,Phase 1,0.009596806718222033,0.9904031932817778
_PIPERACILLIN,APPENDICITIS,NCT02991937,Not Applicable,0.008674863387978142,0.9913251366120218
_GENTAMICIN,ABDOMINAL ABSCESS,NCT03476941,Phase 2,0.01743061233973525,0.9825693876602647
_GENTAMICIN_SULFATE,ABDOMINAL ABSCESS,NCT03476941,Phase 2,0.3032960082851255,0.6967039917148743
_HYDROCORTISONE,SEPSIS,NCT04160676,Not Applicable,0.014471310980725807,0.9855286890192742
_ASCORBIC_ACID,SEPSIS,NCT04160676,Not Applicable,0.07022448355972773,0.9297755164402721
_THIAMINE,SEPSIS,NCT04160676,Not Applicable,0.08467314107479483,0.9153268589252052
_HYDROCORTISONE,HIV INFECTION,NCT03237689,Early Phase 1,0.13436542950529726,0.8656345704947025
_DEXTROSE,HYSTERECTOMY,NCT03719755,Not Applicable,0.27879314120863546,0.7212068587913645
_GLUTAMINE,BURN,NCT00985205,Phase 3,0.22963655002277622,0.7703634499772238
_RUXOLITINIB,MALARIA,NCT04456634,Phase 1,0.3125762907348232,0.6874237092651769
_RUXOLITINIB_PHOSPHATE,MALARIA,NCT04456634,Phase 1,0.31181080739604505,0.6881891926039551
_CAFFEINE,HIV INFECTION,NCT04425902,Phase 1,0.3473806700679956,0.6526193299320044
_PRAVASTATIN,HIV INFECTION,NCT04425902,Phase 1,0.171662024673639,0.828337975326361
_METOPROLOL,HIV INFECTION,NCT04425902,Phase 1,0.26844610961711224,0.7315538903828878
_OMEPRAZOLE,HIV INFECTION,NCT04425902,Phase 1,0.06807607825653622,0.9319239217434638
_MONTELUKAST,HIV INFECTION,NCT04425902,Phase 1,0.05617476375759728,0.9438252362424027
_MIDAZOLAM,HIV INFECTION,NCT04425902,Phase 1,0.23493904366383436,0.7650609563361658
_DIGOXIN,HIV INFECTION,NCT04425902,Phase 1,0.24963154592163175,0.7503684540783682
_FLURBIPROFEN,HIV INFECTION,NCT04425902,Phase 1,0.3028727005192778,0.6971272994807224
_ASPIRIN,SEPSIS,NCT01784159,Phase 2,0.04582449789592902,0.954175502104071
_UREA,HELICOBACTER PYLORI INFECTION,NCT04233684,Not Applicable,0.1877689624876336,0.8122310375123665
_DARUNAVIR,AMYOTROPHIC LATERAL SCLEROSIS,NCT02437110,Phase 1,0.1201130534426485,0.8798869465573518
_DOLUTEGRAVIR,AMYOTROPHIC LATERAL SCLEROSIS,NCT02437110,Phase 1,0.1366511302785045,0.8633488697214952
_RITONAVIR,AMYOTROPHIC LATERAL SCLEROSIS,NCT02437110,Phase 1,0.06581034907654644,0.9341896509234534
_TENOFOVIR_ALAFENAMIDE,AMYOTROPHIC LATERAL SCLEROSIS,NCT02437110,Phase 1,0.15591131738803835,0.8440886826119615
_TENOFOVIR,AMYOTROPHIC LATERAL SCLEROSIS,NCT02437110,Phase 1,0.06469180067781294,0.9353081993221869
_MIDAZOLAM,"HEPATITIS B, CHRONIC",NCT02952924,Phase 1,0.1472165527787514,0.8527834472212484
_EZETIMIBE,CHRONIC HEPATITIS C,NCT02971033,Phase 2,0.24927802991697423,0.7507219700830257
_PANOBINOSTAT,HIV INFECTION,NCT02471430,Phase 1|Phase 2,0.32433666508543607,0.6756633349145639
_TRIMETHOPRIM,CYSTIC FIBROSIS,NCT03489629,Phase 2,0.36224585520499475,0.6377541447950053
_MINOCYCLINE,CYSTIC FIBROSIS,NCT03489629,Phase 2,0.09789805459610991,0.9021019454038895
_MUPIROCIN,CYSTIC FIBROSIS,NCT03489629,Phase 2,0.10614377727041001,0.89385622272959
_CHLORHEXIDINE,CYSTIC FIBROSIS,NCT03489629,Phase 2,0.09637260759122342,0.9036273924087764
_CHLORHEXIDINE_GLUCONATE,CYSTIC FIBROSIS,NCT03489629,Phase 2,0.2583511961040978,0.7416488038959023
_SULFAMETHOXAZOLE,CYSTIC FIBROSIS,NCT03489629,Phase 2,0.2622763547390053,0.7377236452609948
_CIPROFLOXACIN,PNEUMONIA,NCT03177720,Phase 1,0.0017516279069767443,0.9982483720930233
_IMIPENEM,PNEUMONIA,NCT03177720,Phase 1,0.0015106634154490814,0.998489336584551
_AMOXICILLIN,INFECTION,NCT03844776,Not Applicable,0.00381947261663286,0.9961805273833672
_METRONIDAZOLE,INFECTION,NCT03844776,Not Applicable,0.006356299658804925,0.993643700341195
_CHLORHEXIDINE,INFECTION,NCT03844776,Not Applicable,0.02128281309591437,0.9787171869040856
_TIGECYCLINE,SPONTANEOUS BACTERIAL PERITONITIS,NCT04208763,Not Applicable,0.019201414822459198,0.9807985851775407
_IMIPENEM,SPONTANEOUS BACTERIAL PERITONITIS,NCT04208763,Not Applicable,0.0015106634154490814,0.998489336584551
_COLISTIN,SPONTANEOUS BACTERIAL PERITONITIS,NCT04208763,Not Applicable,0.0,1.0
_SODIUM_CHLORIDE,CHRONIC HEPATITIS B,NCT04465890,Phase 2,0.2423956043710175,0.7576043956289825
