Name,Conditions,NCT_Number,Phases,Prob_unapproval,Prob_approval
_VANCOMYCIN,OSTEOARTHRITIS,NCT04075526,Not Applicable,0.08455292985020998,0.9154470701497901
_MELATONIN,OSTEOPENIA,NCT04233112,Early Phase 1,0.14765209012011893,0.852347909879881
_CALCIUM_CARBONATE,LIVER CIRRHOSIS,NCT02642874,Phase 3,0.00872003865395169,0.9912799613460485
_METHOCARBAMOL,LIVER CIRRHOSIS,NCT02642874,Phase 3,0.11342657180661839,0.8865734281933817
_CALCIUM_CARBONATE,OSTEOPOROSIS,NCT04550078,Not Applicable,0.09088793372219492,0.9091120662778052
_METFORMIN,RHEUMATOID ARTHRITIS,NCT04068246,Early Phase 1,0.06599247722460191,0.9340075227753981
_ANGIOTENSIN,RHEUMATOID ARTHRITIS,NCT03770702,Phase 3,0.32088067596583303,0.6791193240341665
_MONTELUKAST,RHEUMATOID ARTHRITIS,NCT03770923,Phase 3,0.22125874493728317,0.778741255062717
_RUPATADINE,RHEUMATOID ARTHRITIS,NCT03770923,Phase 3,0.2620051890121848,0.7379948109878152
_BACLOFEN,CIRRHOSIS,NCT04509336,Not Applicable,0.022142893673942038,0.9778571063260582
_ORPHENADRINE,CIRRHOSIS,NCT04509336,Not Applicable,0.06528831318446367,0.9347116868155362
_ESMOLOL,DIABETIC FOOT ULCER,NCT03998436,Phase 3,0.1980505719116888,0.8019494280883112
_ESMOLOL_HYDROCHLORIDE,DIABETIC FOOT ULCER,NCT03998436,Phase 3,0.2772641775745493,0.7227358224254504
_DICLOFENAC,BREAST CANCER,NCT04511832,Not Applicable,0.13402611297403316,0.8659738870259666
_CHLORHEXIDINE,DIABETIC FOOT ULCER,NCT03503370,Phase 2,0.19904160563521056,0.8009583943647894
_BETAMETHASONE,GOUT ATTACK,NCT04306653,Not Applicable,0.0,1.0
_TOFACITINIB,PSORIATIC ARTHRITIS,NCT03486457,Phase 3,0.11137121578248058,0.8886287842175195
_INDOCYANINE_GREEN,RHEUMATOID ARTHRITIS,NCT02680067,Phase 1,0.49071002938606123,0.5092899706139387
_PRIMIN,STROKE,NCT03517657,Not Applicable,0.17361518299002854,0.8263848170099715
_UPADACITINIB,SPONDYLOARTHRITIS,NCT04169373,Phase 3,0.3275324959227396,0.6724675040772601
_MELOXICAM,ANKYLOSING SPONDYLITIS,NCT04480359,Phase 2|Phase 3,0.05682476189418964,0.9431752381058105
_ALBUTEROL,MYASTHENIA GRAVIS,NCT03914638,Phase 2|Phase 3,0.09765251949981794,0.9023474805001824
_BARICITINIB,UVEITIS,NCT04088409,Phase 3,0.2326802371103922,0.7673197628896078
_DEXTROSE,OSTEO ARTHRITIS OF THE KNEES,NCT03400631,Not Applicable,0.06230453534473537,0.9376954646552648
_DULOXETINE,OSTEO ARTHRITIS OF THE KNEES,NCT04224584,Phase 2,0.0203457216346486,0.9796542783653515
_DRONABINOL,OSTEO ARTHRITIS OF THE KNEES,NCT04298528,Phase 3,0.12880565681028303,0.8711943431897171
_PREDNISOLONE,POLYMYALGIA RHEUMATICA,NCT03576794,Phase 3,0.00860708067324434,0.9913929193267557
_LEFLUNOMIDE,POLYMYALGIA RHEUMATICA,NCT03576794,Phase 3,0.03263101443551626,0.9673689855644838
_PRAVASTATIN,AUTOSOMAL DOMINANT POLYCYSTIC KIDNEY DISEASE,NCT04284657,Phase 2,0.19238581574565078,0.8076141842543493
_SODIUM_CITRATE,AUTOSOMAL DOMINANT POLYCYSTIC KIDNEY DISEASE,NCT04284657,Phase 2,0.13269207129030966,0.8673079287096904
_TRIAMCINOLONE_HEXACETONIDE,OSTEO ARTHRITIS OF THE KNEES,NCT04231318,Phase 3,0.1410268929723002,0.8589731070276997
_HYALURONIC_ACID,LUMBAR SPINAL STENOSIS,NCT02459392,Not Applicable,0.0,1.0
_SEROTONIN,STROKE,NCT02865642,Phase 2,0.1363425167061238,0.8636574832938763
_METHOTREXATE,JUVENILE IDIOPATHIC ARTHRITIS,NCT04169828,Not Applicable,0.034901294147617584,0.9650987058523824
_ONDANSETRON,JUVENILE IDIOPATHIC ARTHRITIS,NCT04169828,Not Applicable,0.13371227530628627,0.8662877246937138
_DEXTROSE,CHRONIC SHOULDER PAIN,NCT03000205,Not Applicable,0.06230453534473537,0.9376954646552648
_PROPRANOLOL,SHOULDER PAIN,NCT02620579,Phase 2,0.12513111699590515,0.8748688830040947
_CLONIDINE,SCOLIOSIS,NCT03537612,Phase 3,0.09470281215219291,0.9052971878478072
_MORPHINE,SCOLIOSIS,NCT03537612,Phase 3,0.03840181313546269,0.9615981868645374
_METFORMIN,RHEUMATOID ARTHRITIS|CARDIOVASCULAR DISEASES,NCT02246257,Not Applicable,0.06599247722460191,0.9340075227753981
_SIMVASTATIN,RHEUMATOID ARTHRITIS|CARDIOVASCULAR DISEASES,NCT02246257,Not Applicable,0.10501979933098422,0.8949802006690157
_LOSARTAN,RHEUMATOID ARTHRITIS|CARDIOVASCULAR DISEASES,NCT02246257,Not Applicable,0.2953116356703724,0.7046883643296276
_MORPHINE,KNEE ARTHRITIS,NCT02967302,Phase 2|Phase 3,0.0015310757794755314,0.9984689242205245
_MORPHINE_SULFATE,KNEE ARTHRITIS,NCT02967302,Phase 2|Phase 3,0.07727590528845153,0.9227240947115486
_ESTROGEN,HAND OSTEOARTHRITIS,NCT04036929,Not Applicable,0.46176271253236356,0.5382372874676363
_TOFACITINIB,JUVENILE IDIOPATHIC ARTHRITIS,NCT01500551,Phase 3,0.2832723639466266,0.7167276360533732
_TOFACITINIB,AXIAL SPONDYLOARTHRITIS,NCT03738956,Phase 2|Phase 3,0.21969685429706914,0.7803031457029307
_BARICITINIB,JUVENILE IDIOPATHIC ARTHRITIS,NCT03773978,Phase 3,0.2326802371103922,0.7673197628896078
_GLUCOSAMINE,KNEE OSTEOARTHRITIS,NCT04470336,Not Applicable,0.08465716488985235,0.9153428351101478
_ETORICOXIB,MUSCULOSKELETAL PAIN,NCT04565600,Phase 2,0.020096022867385058,0.9799039771326149
_OZONE,KNEE OSTEOARTHRITIS,NCT04426721,Phase 3,0.03873498808585629,0.9612650119141436
_UPADACITINIB,JUVENILE IDIOPATHIC ARTHRITIS,NCT03725007,Phase 1,0.49403957490658174,0.5059604250934184
_TREPROSTINIL,DIABETIC FOOT ULCER,NCT03654989,Phase 1|Phase 2,0.17681356585806374,0.8231864341419365
_METHYLPREDNISOLONE,PAIN MANAGEMENT,NCT03564106,Phase 2|Phase 3,0.0,1.0
_CREATINE,KNEE OSTEOARTHRITIS,NCT04423432,Not Applicable,0.1639292437854464,0.8360707562145536
_PIROXICAM,LATERAL EPICONDYLITIS,NCT04201249,Phase 2|Phase 3,0.15964898877996006,0.8403510112200401
_LIDOCAINE,LATERAL EPICONDYLITIS,NCT04201249,Phase 2|Phase 3,0.0,1.0
_MENTHOL,ACUTE PAIN,NCT04484428,Phase 2,0.2926291993429208,0.7073708006570787
_RESVERATROL,KNEE OSTEOARTHRITIS,NCT02905799,Phase 3,0.1251008174334892,0.8748991825665107
_ZOLEDRONIC_ACID,"OSTEOARTHRITIS, HIP",NCT04303026,Phase 3,0.0,1.0
