Name,Conditions,NCT_Number,Phases,Prob_unapproval,Prob_approval
_LEUPROLIDE,PROSTATIC NEOPLASMS,NCT03007732,Phase 2,0.09477149866476099,0.905228501335239
_ACETATE,PROSTATIC NEOPLASMS,NCT03007732,Phase 2,0.12031503503881597,0.8796849649611838
_LEUPROLIDE_ACETATE,PROSTATIC NEOPLASMS,NCT03007732,Phase 2,0.25804813418929745,0.7419518658107025
_PREDNISONE,PROSTATIC NEOPLASMS,NCT03007732,Phase 2,0.1129860300156006,0.8870139699843997
_ABIRATERONE,PROSTATIC NEOPLASMS,NCT03007732,Phase 2,0.1832394233927072,0.8167605766072923
_ABIRATERONE_ACETATE,PROSTATIC NEOPLASMS,NCT03007732,Phase 2,0.3557214634749492,0.6442785365250507
_EXEMESTANE,OVARIAN CANCER,NCT04460807,Phase 3,0.02059396952004104,0.9794060304799589
_GOSERELIN,BREAST NEOPLASM,NCT01723774,Phase 2,0.31335982065231693,0.6866401793476828
_FULVESTRANT,NEOPLASMS,NCT02530411,Phase 2,0.16071355902196033,0.8392864409780397
_VANDETANIB,NEOPLASMS,NCT02530411,Phase 2,0.25666162028294975,0.7433383797170504
_LETROZOLE,OVARIAN CANCER,NCT03378297,Early Phase 1,0.02299210180457194,0.9770078981954281
_METFORMIN,OVARIAN CANCER,NCT03378297,Early Phase 1,0.17408387491685776,0.8259161250831423
_ASPIRIN,OVARIAN CANCER,NCT03378297,Early Phase 1,0.13322180269598694,0.8667781973040131
_OLAPARIB,OVARIAN CANCER,NCT03378297,Early Phase 1,0.3008469197158022,0.699153080284198
_FLUTAMIDE,PCOS,NCT00930228,Phase 1,0.21566790878027964,0.7843320912197207
_DOCETAXEL,NEOPLASMS,NCT03693612,Phase 2,0.036343168742237496,0.9636568312577626
_PACLITAXEL,NEOPLASMS,NCT03693612,Phase 2,0.09977711086357685,0.900222889136423
_DOCETAXEL,SOFT TISSUE SARCOMA,NCT03449901,Phase 2,0.326704609222054,0.6732953907779462
_GEMCITABINE,SOFT TISSUE SARCOMA,NCT03449901,Phase 2,0.33445062047345553,0.6655493795265444
_ARGININE,SOFT TISSUE SARCOMA,NCT03449901,Phase 2,0.5473658099792668,0.45263419002073313
_DOCETAXEL,GASTRIC CANCER,NCT01924819,Phase 2|Phase 3,0.023271448602819954,0.9767285513971803
_CAPECITABINE,GASTRIC CANCER,NCT01924819,Phase 2|Phase 3,0.06256847680695397,0.9374315231930461
_EPIRUBICIN,GASTRIC CANCER,NCT01924819,Phase 2|Phase 3,0.011228304047004662,0.9887716959529955
_LEUCOVORIN,GASTRIC CANCER,NCT01924819,Phase 2|Phase 3,0.14156845440668822,0.8584315455933119
_NIRAPARIB,GASTRIC CANCER,NCT04178460,Phase 1,0.2886016723502281,0.711398327649772
_NIRAPARIB,PROSTATE CANCER,NCT04194554,Phase 1|Phase 2,0.5025574272257768,0.4974425727742232
_NIRAPARIB,BREAST CANCER,NCT02826512,Phase 2,0.27068424764953847,0.7293157523504615
_NIRAPARIB,PANCREATIC CANCER,NCT03601923,Phase 2,0.518972452732227,0.48102754726777297
_ENZALUTAMIDE,PROSTATIC NEOPLASMS,NCT03834519,Phase 3,0.10552964712087101,0.8944703528791292
_OLAPARIB,PROSTATIC NEOPLASMS,NCT03834519,Phase 3,0.40651858895386794,0.5934814110461321
_ENZALUTAMIDE,OVARIAN CANCER,NCT03464201,Phase 2,0.13417034745437992,0.8658296525456203
_ENZALUTAMIDE,BREAST CANCER,NCT02955394,Phase 2,0.37254272220391427,0.6274572777960856
_CYCLOPHOSPHAMIDE,OVARIAN CANCER,NCT03814447,Early Phase 1,0.06781083298316747,0.9321891670168324
_FLUDARABINE,OVARIAN CANCER,NCT03814447,Early Phase 1,0.15626693627903315,0.8437330637209665
_CYCLOPHOSPHAMIDE,NEOPLASMS,NCT03967223,Phase 2,0.051206662791638824,0.9487933372083611
_FLUDARABINE,NEOPLASMS,NCT03967223,Phase 2,0.10701509388133847,0.8929849061186613
_CYCLOPHOSPHAMIDE,PROSTATE CANCER,NCT03089203,Phase 1,0.10159480325797794,0.8984051967420222
_CYCLOPHOSPHAMIDE,PANCREATIC CANCER,NCT04390399,Phase 2,0.08061003238594502,0.9193899676140549
_LEUCOVORIN,PANCREATIC CANCER,NCT04390399,Phase 2,0.3446857952567017,0.6553142047432984
_IRINOTECAN,PANCREATIC CANCER,NCT04390399,Phase 2,0.3309465981405959,0.6690534018594042
_ALDOXORUBICIN,PANCREATIC CANCER,NCT04390399,Phase 2,0.9961401485202039,0.003859851479796107
_CYCLOPHOSPHAMIDE,HEPATOCELLULAR CARCINOMA,NCT04011033,Phase 2|Phase 3,0.003336327116071599,0.9966636728839284
_METHOTREXATE,BREAST CANCER,NCT02897700,Phase 1,0.024619339592974993,0.9753806604070252
_FLUOROURACIL,BREAST CANCER,NCT02897700,Phase 1,0.1502697693981278,0.8497302306018717
_TACROLIMUS,LYMPHEDEMA,NCT04390685,Phase 1|Phase 2,0.10315004646429776,0.8968499535357026
_FLUDARABINE,HEPATOCELLULAR CARCINOMA,NCT02905188,Phase 1,0.24838338402167218,0.7516166159783276
_CAPECITABINE,METASTATIC COLORECTAL CANCER,NCT03869892,Phase 3,0.13451585956662046,0.8654841404333795
_CAPECITABINE,RECTAL CANCER,NCT01716949,Phase 1|Phase 2,0.01198952277174005,0.9880104772282599
_CAPECITABINE,HEPATOCELLULAR CARCINOMA,NCT04411706,Phase 2,0.01625714783328416,0.983742852166716
_APATINIB,HEPATOCELLULAR CARCINOMA,NCT04411706,Phase 2,0.008274201895700377,0.9917257981042996
_CAPECITABINE,STOMACH NEOPLASMS,NCT03675737,Phase 3,0.14117892450574931,0.8588210754942507
_CAPECITABINE,COLORECTAL CANCER METASTATIC,NCT04245865,Phase 2,0.06256847680695397,0.9374315231930461
