Name,Conditions,NCT_Number,Phases,Prob_unapproval,Prob_approval
_FEXOFENADINE,GASTROESOPHAGEAL REFLUX,NCT03425097,Phase 2,0.023720934614986748,0.9762790653850131
_OMEPRAZOLE,GASTROESOPHAGEAL REFLUX DISEASE,NCT03367195,Phase 3,0.001667473378509196,0.9983325266214907
_TRIAMCINOLONE,PROLIFERATIVE DIABETIC RETINOPATHY,NCT02447185,Phase 3,0.0,1.0
_TRIAMCINOLONE_ACETONIDE,PROLIFERATIVE DIABETIC RETINOPATHY,NCT02447185,Phase 3,0.009458584027707807,0.9905414159722922
_NICLOSAMIDE,FAMILIAL ADENOMATOUS POLYPOSIS,NCT04296851,Phase 2,0.17547966124097727,0.8245203387590226
_DEXLANSOPRAZOLE,GASTRO ESOPHAGEAL REFLUX,NCT03202537,Early Phase 1,0.09715112824653699,0.9028488717534627
_HYALURONIC_ACID,GASTRO ESOPHAGEAL REFLUX,NCT04202692,Not Applicable,0.057401367315622134,0.9425986326843778
_MAGNESIUM_TRISILICATE,GASTRO ESOPHAGEAL REFLUX,NCT04202692,Not Applicable,0.26247623404376375,0.7375237659562363
_CAFFEINE,CATARACT,NCT03534973,Not Applicable,0.16917873132089117,0.8308212686791084
_CLOBETASOL_PROPIONATE,CATARACT,NCT04249076,Phase 3,0.03942341307008637,0.9605765869299137
_CLOBETASOL,CATARACT,NCT04249076,Phase 3,0.03274946757693992,0.9672505324230599
_BUDESONIDE,CHRONIC SINUSITIS,NCT04163978,Phase 2,0.012861826200499214,0.9871381737995008
_BUDESONIDE,SINUSITIS,NCT03584178,Not Applicable,0.0026479631053036123,0.9973520368946964
_CEFUROXIME,ENDOPHTHALMITIS POSTOPERATIVE,NCT04212078,Phase 1|Phase 2,0.2681150485727024,0.7318849514272974
_SODIUM_CHLORIDE,EPISTAXIS,NCT02930941,Not Applicable,0.1498890515647698,0.8501109484352297
_TRANEXAMIC_ACID,EPISTAXIS,NCT02930941,Not Applicable,0.19810962169258808,0.8018903783074117
_BARICITINIB,UVEITIS,NCT04088409,Phase 3,0.2194984613154497,0.7805015386845504
_DOXORUBICIN,RETINOBLASTOMA,NCT01783535,Phase 2,0.3316488778896863,0.6683511221103139
_LUTEIN,GLAUCOMA,NCT03959592,Phase 1|Phase 2,0.3263079956579761,0.6736920043420238
_FLUOROURACIL,HEAD AND NECK SQUAMOUS CELL CARCINOMA,NCT03340896,Phase 3,0.189819275621114,0.8101807243788858
_CARBIDOPA,AGE-RELATED MACULAR DEGENERATION,NCT03023059,Phase 2,0.4405478775101605,0.5594521224898394
